视频名称,up主,播放量,评论数,收藏数,点赞数,投币数,分享数,发布地点,发布时间,视频时长,推荐理由,BV号
好多手艺，学不过来了！都是三十年以上的功力哦～,永琪吗,579364,1495,5751,104191,53536,1356,重庆,1712646367,366,10万点赞,BV1Uz421y7nu
一起感受一下，400米障碍跑一镜到底！,中国青年报,355754,329,2722,68270,1002,652,,1712650040,96,6万点赞,BV1vC41157wc
文化输出～一眼万年,Sunny__L__,360615,206,3571,73026,883,4020,广东,1712712708,31,6万点赞,BV1oC411V7H1
【少女焚烧案】以为烧尸灭迹，结果烧一晚上得救存活,郑郑得证,809345,2912,4362,26262,949,497,江苏,1712636000,592,,BV19m411q7De
在 5:20 睡 觉 13:14 超 度 你！,M_SX,369621,345,9149,40755,5427,4288,云南,1712636944,98,,BV14A4m1F7fh
汤姆的梦中情猫之～白色优雅图多盖洛～,紫菜蛋花兔兔,561946,336,4747,65037,806,6094,广东,1712689080,16,6万点赞,BV1Wm41167z7
【大学老师推荐】懒人必用的AI工具｜再也不用亲自做PPT和备课了！科技摸鱼～,糖果果的未来要发光,210646,184,27308,14800,6558,4979,湖北,1712657009,294,,BV12E421M7et
【半佛】胖东来不出河南，真的聪明,硬核的半佛仙人,302088,328,2461,17703,1199,440,浙江,1712739600,554,,BV13r42147d7
那你应该很幸福吧,在在在这里啊,299400,627,2965,65270,26807,197,浙江,1712543959,143,6万点赞,BV1Ep42197m9
挑战在闺蜜婚礼上跳Queencard！！,兔总裁s,494479,461,9000,33435,1407,551,天津,1712637000,153,,BV1G1421o7Po
《蔚蓝档案The Animation》第1话：阿拜多斯高等学院停办对策委员会,蔚蓝档案,1286999,27650,66724,126924,95359,35985,上海,1712503800,1421,百万播放,BV1cZ421B7EF
爽唱了《Bling-Bang-Bang-Born》顺便还健了个身！,鹿火CAVY,570020,377,10315,46839,8685,1058,上海,1712653200,91,翻唱·人气飙升,BV1RC411V7PG
俺是河南嘞！河南洛阳嘞【5：20AM】阿梓,阿梓从小就很可爱,2639684,2429,54952,119521,67942,43816,上海,1712203200,159,百万播放,BV1dZ421q7tb
草 坪 最 害 怕 的 一 集,萝太永不破防,441411,1117,6462,47724,1923,1133,福建,1712678598,409,单机游戏·人气飙升,BV11p42197ya
恐怖的竞业协议：互联网大厂在“吃人”,知危编辑部,741819,8835,19557,50094,36641,15622,浙江,1712571570,1089,1万分享,BV1up42197mh
“被压制的那个好像不是我啊！”,二代二代,194309,230,3589,11701,4253,109,广东,1712636309,224,,BV1kx421U7mz
【5：20AM】俺是河南嘞！！,铃乃Chan,466222,353,7902,32710,7511,3461,广东,1712633400,157,,BV1wx4y1e7a8
《我爱发明》里最解乏的发明 将后背抛成镜面！,沫子瞪片,198011,1217,1697,15387,1332,266,河北,1712736900,713,很多人点赞,BV1ym411z7eS
