视频名称,up主,播放量,评论数,收藏数,点赞数,投币数,分享数,发布地点,发布时间,视频时长,BV号
叶卡捷琳娜：“白天鹅的烂剧情，黑天鹅的爽文本！”,直男文史课,337709,1252,9528,16325,1651,308,湖北,1712713982,941,BV1um421E7gL
专属于老年宝宝体质的通讯墙,鳕鱼稀饭,858316,32,13505,23805,648,794,重庆,1712654399,66,BV1CA4m1F7Rf
这几张尺寸神图赶紧码住，指不定哪天就用上了,靠譜的知识,924186,30,46442,53426,1714,702,山东,1712399834,21,BV11Z421i7Pf
树林挑战失败。。,树林_反封建迷信,382936,265,3033,39510,293,362,吉林,1712829430,88,BV12H4y1n7Pa
把气球送上3万米高空，竟拍到地球被黑影吞噬！,影石Insta360,349650,230,4213,42674,426,469,广东,1712828321,36,BV1hA4m1F7ZM
大型纪录片《拳王沃克》,桔子乐666,2451965,0,49717,7034,965,5,山东,1708910717,78,BV1br421s7YR
你的jio为什么不臭了？,真的想不出名儿了,537146,384,1078,12785,332,570,江苏,1712820795,87,BV1fx421U7UN
你还记得汶川地震中的坚强小猪“猪坚强”吗？,艺术嘚吧嘚,367800,70,2368,38876,65,117,北京,1712917800,73,BV181421m7Nd
厚脸皮能让你少受80%的罪,细心小王,460094,16,7032,53475,254,350,浙江,1712682371,64,BV1Tx4y1e7sG
艾灸百会解放双手,太极本草,295789,109,8761,26061,446,2310,河北,1712740540,36,BV1Sp421y76z
