视频名称,up主,播放量,评论数,收藏数,点赞数,投币数,分享数,发布地点,发布时间,视频时长,BV号
百年鱼腩，正在冲向欧冠！全队身价不如半个姆巴佩！,内德羽则说,207906,1321,1463,9621,2892,500,江苏,1712810675,788,BV1VE421u73K
《三国台球》之诡异杆法,三国战台球,698664,136,11257,102283,686,2101,江苏,1712319523,32,BV1zJ4m157YK
爆笑解说欧冠马竞2-1多特和巴黎2-3巴萨！就当两场0比1~,鸡锟苗师傅,210619,649,1010,11469,2293,413,北京,1712833459,370,BV1sx421S74N
青瓦台头号保镖，李小龙的小迷弟自学了截拳道的核心理念，不拘泥于任何一种武术形式，把马伽术，八极拳，通背拳，咏春等融会自成一派，强悍的爆发力与反应速度,格斗新视界,454068,145,679,8811,35,25,福建,1712738816,22,BV1Wp42197Ko
和兄弟一起钓鱼，我笑声太大差点被踢下河,荷塘星星,162765,1371,603,15333,6606,69,湖南,1712916000,667,BV1PA4m1c79L
笑着笑着不见了,野球帝郭师傅,302259,70,2687,57925,987,355,浙江,1712665825,12,BV1Gx421S726
刷到这条视频就是提醒你该自律了,自律的花小龙,622096,31,3377,42056,165,261,安徽,1712574309,46,BV1FZ421q7gP
收手吧，后面全是什琴斯尼,尤文图斯足球俱乐部,216468,82,2583,31611,1275,719,四川,1712750400,41,BV1DD421W7Qx
【大圣不油腻】最新视频上线，求关注！,大圣不油腻,205892,34,23617,13781,2687,1222,吉林,1710929243,43,BV1tp42127Ma
12岁健身5年后会有什么变化？,努力健身的小高,279339,488,1085,16778,306,281,河南,1712827836,109,BV1QJ4m1G7fg
精气神不饱满？送你八字真言！,武当袁师懋,158449,24,7472,25743,1186,1144,湖北,1712742897,39,BV18F4m1T7iY
【金剛長壽功】Up主探索中，欢迎收看求三连！,金剛長壽功,72548,22,13696,13291,1602,710,山东,1712712156,14,BV1Vm41167jx
叶问真实影像：在镜头前展示咏春拳，徒弟李小龙实战特厉害！,cyqzdcg,636114,2,8060,935,56,0,广东,1712371252,210,BV1Bm421E7SS
魔仙哥：“把自律当成一种习惯，耐心是生活的关键”,不会剪辑的果子君,122320,91,7237,14851,6008,608,贵州,1712722121,202,BV1um41167e3
减脂餐如何搭配,腰王全网第一腰,334926,133,10903,17642,548,1714,辽宁,1712031720,33,BV1Hm411z7dx
从北京理工大学骑哈啰到天津之眼,立志当番薯的咸鱼,838282,1435,18120,189506,6190,10896,北京,1712544565,21,BV1uD421p79G
适合普通人的减脂方法,吴彦祖秃顶版,227456,362,893,27045,908,1166,黑龙江,1712891500,54,BV1tw4m1m7ZV
挑战泰山三倍难度的峨眉山，看看我多久能登顶！,游不动的小明,2123077,3362,22387,279925,13294,8294,北京,1712205053,363,BV1cx4y1v7Pi
什么档次，跟我比钓鱼,去种田的向凹凸,168099,1339,439,13675,3855,87,湖南,1712912700,587,BV1jx4y1a7hW
一个技巧，小白变高手,王孟南台球球杆工作室,1043469,11,330,3252,81,37,广东,1711267200,23,BV1Hp42127hv
“湖勇谢幕战-湖人勇士”,皓篮球,278848,157,731,26552,468,235,辽宁,1712752256,108,BV1V1421m7mA
大型纪录片《神奇的增肌粉》震撼播出！# 大型纪录片.,沸羊羊纪录片传奇,450601,3,8291,6834,286,52,江西,1712295563,83,BV1wJ4m157A4
跑的还挺快,会点台球的老刘,156552,111,442,16508,381,131,北京,1712894678,213,BV1zZ421Y72g
当我不再需要为了花样游泳留黑长直……剪短发了！,扣子一十六,410924,102,1079,25815,150,56,湖北,1712581768,56,BV1Cz421y7hu
众所周知 标准是拿来为难别人的,没错是珍妮啊,407679,5,272,4916,62,17,浙江,1712748008,16,BV1PC411573P
五五开破局之王！中锋当乔丹用！约基奇纯实力达到了历史前五？,太吾车神,194039,1230,676,6331,678,506,上海,1712838256,465,BV1BZ421e7Sh
每天重复一件事，就一定能练成哈哈。这招摸头上篮怎么样。,放松滴_阿琪,1813589,62,765,21932,179,154,湖北,1712571231,31,BV1iZ421e7ua
推荐女生练习的剑法,武当韩湘子,620991,225,21749,106938,2198,1182,安徽,1712399375,38,BV1w1421m7NP
将近4000公里，看看运动员亲穿战靴，和我们的有什么不一样,老张的鞋Deron,181757,75,951,17093,348,100,北京,1712744264,295,BV1Ap421972w
张伟丽ufc首秀！#张伟丽vs闫晓楠,沥泉格斗_拳馆在赤峰,189722,272,455,7762,984,46,内蒙古,1712814881,538,BV1Qq421F7H3
哈维关键五换制胜！巴黎2:3不敌巴萨，拉菲尼亚双响，登贝莱破门,友利Mori,197188,739,415,6390,628,278,北京,1712790859,651,BV1aq421F7GN
能被自己的老爸认可应该是每一个孩子最幸福的事儿！,暴躁野哥讲健身,202451,84,2738,40854,4358,50,内蒙古,1712978332,95,BV1kD421p7Y7
备赛时间有限，回到老家也要训练#蜕变过程 #备赛 #2024wnbf自然赛 #三个月的减肥计划 #健身氮泵,涂艺很努力,1265641,705,13766,203192,52832,449,贵州,1711797056,55,BV1Zm41167a1
章鱼反手跳杀名场面预定！李梓嘉稳定攻防两局拿下周天成晋级！2024年亚锦赛,ご光影的故事ご,158938,455,1142,9584,1162,798,山东,1712818472,561,BV14H4y1T7H9
不是哥们，这对抗无解啊？！,洛奇奇奇呀,252080,645,454,9541,344,1227,广东,1712878266,97,BV1Sp42197xM
硬控18秒,月半拉拉谷Akira,579212,366,2152,50533,927,1915,江苏,1712575959,20,BV12J4m1V7n7
詹姆斯48分钟的播客 30分钟吹牛逼 8分钟怪队友 10分钟科普“战术”还记错了,职耶演员,144185,1804,1104,7232,3771,1941,广东,1712837107,1021,BV17K421a7Dk
人生逆风必看！这场比赛诠释何为足球的意义！,足球故事-李治霖,123740,1175,2566,8992,4008,946,辽宁,1712970600,1067,BV1X1421R7nb
你选的球衣号码对你有什么含义吗,小磊砸-,233240,32,1286,16751,81,16,浙江,1712829722,39,BV1SZ421e7L2
百米田径天花板,周晓棋,293742,0,3049,424,23,2,河南,1712652200,95,BV1JD421p7Q1
传统武术的威力 13（陈氏太极二路炮锤.陈超）,清心看雲,271470,232,1033,8052,76,490,河北,1712805384,60,BV1Hr421x7m5
