视频名称,up主,播放量,评论数,收藏数,点赞数,投币数,分享数,发布地点,发布时间,视频时长,BV号
真·北方哨歌｜如果你不讲道理，我也略通一点武力,柠好不好,476474,148,38650,173583,7146,6149,广东,1712836289,15,BV16q421F7pi
加拿大小伙住南昌9㎡：月租350元，苦读《红楼梦》,一条视频,1101594,4154,41264,204509,34847,18866,安徽,1712625041,255,BV17m421E7Rt
辅助谁懂o(╥﹏╥)o-英雄联盟,骑士城堡龙,1543612,303,15654,181329,1662,2421,浙江,1712888164,16,BV1XE421u7d4
偷的是我家啊！,凶鸭栗,3174670,1002,41527,403168,17201,12527,河北,1712659154,83,BV1Bm421779V
"循环歌单 | ""我在5:20睡觉 13:14准时起"" |《5:20AM》",peach63,1676969,80,229213,39235,16018,331,马来西亚,1712507165,3739,BV1wH4y1M7dN
爱一爱3D兔子洞😍,特级面包人,730353,324,33744,48316,9378,2114,江苏,1712895830,324,BV12r421V7pq
自制左轮里电钻,手工耿,909186,4877,5672,78859,29484,2458,河北,1712916000,643,BV1cH4y1T7bH
太极拳实战用法,武汉陈炳太极院张朋,2138631,841,102043,261356,28003,7981,湖北,1712465695,31,BV1kp421y7sg
我买了世界上最漂亮的手枪！武器界的劳斯莱斯！价值上万元！,老李船长,758452,3606,10531,75017,24375,623,美国,1712912700,591,BV1KM4m1D7rC
【才浅】评论区出高人B站网友竟破解这件文物真正用途！！！,才疏学浅的才浅,927338,2231,7782,82508,12532,1230,上海,1712821705,392,BV12m42177C2
从来没有如此期待过一个up主拖更..,小缸,398273,7890,13937,59483,83612,1256,湖南,1712912140,1931,BV17Z421Y73j
小牛生一肚子气，打电话找我爸消气，直接开膛破肚！,龙腾虎跃龙兽医,868250,2343,3232,105131,7958,629,山东,1712826000,365,BV1TE42137tS
诸位 可愿为本帅俯首,又又Elf,757737,713,13710,118875,5858,1970,中国香港,1712807170,114,BV1et421J7iP
【猫meme】女大报名参军被突然带走,哇哩哩哇咔,668713,490,6437,108190,3749,402,内蒙古,1712768822,204,BV1jx421S7o4
墨比斯灵感妆 黑皮+电光蓝 适配度满分,泽叔唠妆,404603,558,27474,79325,2480,2598,湖北,1712804112,359,BV1hx421U7D1
很普通的早餐,我叫鹿十元,1140824,606,10150,195266,3376,2353,广东,1712569338,153,BV1D1421m7L5
街头挑战 第一次见可以单手俯卧撑的女生,PT健身华哥,922858,4915,8774,97395,3045,5814,上海,1712741365,351,BV1tT421m7J3
这一口下去，快乐不就来了吗,Tiger西西,1193395,1115,12449,139075,5135,3773,陕西,1712829599,82,BV1Pm42177Pi
真的很像V吗？,slava_fox,821726,327,19893,147957,8042,7057,广东,1712839747,25,BV1vF4m1K7Fr
在5:20复活,敲萌豹风党,760192,370,36246,47448,3246,660,北京,1712802300,147,BV1Yx4y1Y7Qp
最 强 大 爷,在下张Dark喵,1375369,398,37298,195411,5981,11693,安徽,1712634300,62,BV1sT421m7qV
