视频名称,up主,播放量,评论数,收藏数,点赞数,投币数,分享数,发布地点,发布时间,视频时长,BV号
当你从小养的宝可梦长大以后 (五),loverEevee,258942,105,6350,40202,437,256,山东,1712933653,78,BV1kT42117iQ
年轻大学老师vs中年大学老师（上课玩手机篇）,谢谢艺,445461,91,8186,98159,822,1294,江西,1712574026,46,BV1mK421h7uN
吃完面倒头就睡，大嘴巴子都扇不醒的那种!#晕碳水 #职场,杨哲摩-,1986753,88,1812,40422,488,351,陕西,1712627649,130,BV1tH4y1T7ss
疯了吧，你按了一分钟,原神老六来咯,719855,25,490,14150,126,176,重庆,1712743200,16,BV13x4y1e7A3
那些前奏就让你热血沸腾的歌,TOK_I,3303811,1487,395777,148282,21461,1337,广东,1711253647,78,BV1cH4y1W7F2
成都有了自己的迪士尼，西安也有了一个新的打卡圣地，那就是劳斯莱斯4S店,热梗纪录片,569619,44,2188,4118,245,248,云南,1712846559,123,BV11q421F7mg
买了个小玩具，不小心给女朋友迷成制杖了！,云边有个礼物馆,754730,12,2080,11010,55,510,江西,1712919849,15,BV1AJ4m1W7c9
“发明人网易 发明项目？”,一个没用的飞舞,1120625,154,33497,17470,1152,188,河北,1711865350,70,BV1Am411r7f5
神刘彻！！！,林欢喜耶,240126,344,3284,20266,1444,314,广东,1712893832,306,BV1Gx421U7RW
又是一年毕业季 不过今年轮到我了,敏锐番茄,236814,106,8876,24648,2852,807,浙江,1712835095,73,BV1fH4y1T7ei
素食主义者！！！,_大饼哥美食,363933,298,1187,23351,121,407,江西,1712811411,112,BV1cq421A7km
我要迪士尼....,小屿屿屿_,411586,68,2707,34781,504,331,辽宁,1712743649,14,BV1UZ421e7vM
全选C的试卷它来了，00后老师给学生们“上了一课”大型纪录片《全选C》,青松话解,2752233,17,18527,4074,448,45,湖南,1711264684,96,BV1hu4m1u7mx
记录一下我们改造300年乾隆年间荒废小院的过程！,逃源a,580503,1398,5756,60125,9808,993,福建,1712543952,266,BV1dp421y7Vv
挺突然的，二白失业了！,我的同事爱吃粮,197013,116,1299,41530,8406,57,吉林,1712845826,89,BV1pJ4m1V7my
【崩铁整活】公 司 队,杏核猎手野崎君,212758,47,5621,39777,756,3361,广东,1712755387,31,BV1wF4m1T71T
最喜欢CSGO玩家的一句话“  ”,小米吃橘子OvO,230443,175,4913,41760,530,1789,重庆,1712767020,15,BV16H4y1n7Ki
18年，那年我在幼儿园双手插兜不知道什么叫对手🤣#鬼步舞#520AM#文艺复兴#寻美京山,爱跳舞的小学生525,2002799,421,20078,219757,5791,5797,湖北,1712397854,18,BV1Rp421y7fM
我已经慌得在找变身器了,隔壁小蜘蛛吖,569028,3,22655,3344,457,6,四川,1712303615,127,BV1Ax4y1Y78G
北美牢饭吃什么？,如何eat,409322,131,1375,25255,88,81,加拿大,1712888160,66,BV1YC411V7m6
惹了小水獭，你可算是惹到__了！,哪里的动物园这么好玩,956080,15,919,5937,121,88,湖南,1712658431,19,BV1NH4y1M7QL
晚上10:00的大学门口，着实惊呆了,殷大美搞笑配音,649758,10,145,5016,56,24,河北,1712817195,20,BV1Dp421y7b5
狗：你不出声，我可以当做没闻出来的,萌宠成长记-亮,464144,65,1815,38408,112,1655,贵州,1712938685,16,BV1sJ4m1p7yR
【4K中译|终末的女武神】尼古拉·特斯拉 | 知识 | Chrono,farc1cal,537343,69,38670,19307,8450,560,浙江,1711844541,239,BV1oA4m1w7z5
当你不喜欢的老师被换掉之后…,迪迪Freddy,481083,6,1099,20666,73,64,江苏,1712828095,65,BV13E421374E
大型纪录片《注意力缺陷》,奇墨纪录片传奇,1460160,1,11538,1756,197,6,广东,1711871074,70,BV1BJ4m1L7c1
