视频名称,up主,播放量,评论数,收藏数,点赞数,投币数,分享数,发布地点,发布时间,视频时长,BV号
豆瓣8.1！最真实的禁毒宣传片！毒品到底有多可怕？《门徒》,巧克力味的猪肘,586440,173,5132,3023,444,81,河北,1712833200,2024,BV12t421J7NK
“双胞胎弟弟去世之后，我爱上了他的女朋友”,万卷书容,221120,4455,10730,21623,16744,3819,广东,1712926743,1258,BV1u1421Z71P
神级反转！！单向变双向暗恋！他才是搞纯爱的那一个啊！,青木小墨,500319,559,9228,22539,1831,3482,广东,1712709396,256,BV1hp42197ip
救命被这句欧巴硬控了！看到海王又选妹妹给哥气笑了 公开兄妹关系后更亲近了呢丨恋爱兄妹◎宰亨×世承,_咬一口水蜜桃,379674,427,5439,20135,1750,1269,山西,1712941588,213,BV1pi421f7tG
跟拍香港穷孩子富孩子的一天，残忍揭示人与人的起跑线相差多远,人间放映厅,542766,314,2662,7664,361,307,河南,1712829132,438,BV1z1421m7c9
p人对j人的精神影响不亚于e人对i人的,鑫淼_,604568,73,2340,49327,141,4318,浙江,1712747815,34,BV1st421J7ri
所以到底什么才是最重要的？,春兰一定火,623987,279,3935,44145,202,146,重庆,1712735052,67,BV1Tp42197jb
《不能公开的录像》不思议·录像剧情详解！人死了指甲真的会长吗？,痞夫解説,377074,373,20351,40015,1211,1910,宁夏,1712581943,594,BV1w1421m7sV
被坚定的选择才是最高级的浪漫。,这是TA的故事a,253955,403,2668,41504,1569,1149,安徽,1712835000,196,BV11t421E7nN
知道结局后的过程会发生改变吗？,任青结,480203,140,2005,43949,838,40,辽宁,1712907000,75,BV1vm411m7oH
6999的手机盲盒，最后居然开出了vision pro,开箱阿良,928849,412,10386,8129,816,48,河北,1712570400,464,BV1dH4y1T78t
电影魔术-消失在镜子里的摄影机,尽整没用的,645488,1448,21485,29407,3230,1951,湖北,1712633700,785,BV1L1421o7VN
你这个自私的人,花瓣星猩子,436278,26,1223,50997,122,294,辽宁,1712840439,48,BV14p42197Ke
教育不只是桃李和成功，还有逆行与平凡,鱼蛋教育圈,236303,95,3245,56287,2818,115,陕西,1712914487,113,BV1Lt421E7rL
脱贫第一步，对有钱人祛魅,平原小狐,898171,289,18485,34921,3497,1254,浙江,1712571519,568,BV19D421H76q
救命啊！这部剧也太“有病”了吧？,三代鹿人,450182,627,2040,16634,1347,487,江苏,1712804394,358,BV1Kz421C7Hq
《眼泪女王》第六期，第十集的结尾太泪目了家人们！,刘哔电影,304248,1915,1687,16575,6321,461,浙江,1712763196,1683,BV1HM4m1Q7xz
【甄嬛传123】为何在太后临死前，皇上还要提隆科多的事情？,貔柴,366237,2713,1297,15364,2513,257,河南,1712916000,1188,BV1iD421p7VR
今天不做前台站讲台,静静香__,475535,206,1773,41293,928,211,浙江,1712730296,162,BV14p421y7Zv
当我得知要转学,DK_杰,474654,85,1526,35989,154,75,广东,1712832872,59,BV1Aq421c7Rb
粉丝离谱挑战 阿泽使命必达！什么东西飞出去了,阿泽-zer,401021,56,1767,33588,142,29,重庆,1712902533,94,BV1Np421R7os
轮船在海上行驶40年，从来不加油，因为它的燃料是活人,宇宙无敌韩三金,590898,208,1668,4774,88,53,四川,1712721418,357,BV14H4y1T7aF
我老唐取了一辈子经，就不能享受享受吗？,__宛央__,1068708,135,4110,56667,583,2043,重庆,1712650594,50,BV1E1421m7Ye
集众多版权于一身，当以高达形态出击的那一刻！,昭希燃剪,2526340,128,97078,23718,4438,77,广东,1699349416,134,BV1RM411S7uA
你也试试用昂贵的词称呼闺蜜,小羊来了Y_,569990,113,1819,31025,104,1209,湖南,1712744260,35,BV1zp421y72G
以前某个老师不停追问学生家长保密工作的结果,意阳YiYang,504024,43,869,38775,84,29,广东,1712842647,28,BV1GC4115735
《是你越界了》吕克勤,克勤有点皮,340373,34,2604,47876,123,28,河北,1712895016,73,BV1Xi421f7tH
《我爱发明》里最解乏的发明 将后背抛成镜面！,沫子瞪片,522413,2192,3019,30513,2428,687,河北,1712736900,713,BV1ym411z7eS
电影深度解析动作招数，一拳超人马东锡VS最强反派的凶狠拆招。,梦想中世纪,631356,1,9375,1808,236,3,广东,1712519705,330,BV11E421M7ae
共赢才是永恒 互惠才能不朽！拉片式万字拆解《隐秘的角落》P8,小鱼陪拉片,228628,2012,3565,15761,8446,311,广东,1712826000,1930,BV1M1421m7fM
电影《突袭安全区》战乱面前没有假如，您能做的只有哭泣,初尧微剧场,416503,8,2041,913,129,4,河南,1712800501,675,BV1Fm411B7yg
神刘彻！！！,林欢喜耶,259075,359,3498,21351,1523,332,广东,1712893832,306,BV1Gx421U7RW
这下，安全感拉满了～,硬核妈妈丽洁,1216333,5,6979,541,93,4,广东,1712564400,193,BV1RH4y1J7kL
它是所罗门第六十二柱魔神，它这一生都在入侵驱魔界！,探长日记,257092,1091,5022,19684,1280,289,广东,1712934421,973,BV1ox4y1a7x1
老师 我太想进步了,小杰大行政版,3200194,582,22697,315111,3831,11124,湖北,1712483410,24,BV1DC411V7AC
如何给大佬设局，中间的操作直接封神 处处算计，暗藏对人性的精准把握,懂一点人情世故,853029,386,9209,106437,1329,409,广东,1712560887,246,BV1Dz421k7CB
来看周星驰是如何影讽刺影视圈的,小宋说电影就是好看,472554,154,2439,1668,167,21,陕西,1712753632,890,BV1hp42197EG
中国上古传说中最著名的战争，在“涿鹿”打响了！而在这一战决出胜负之后；生活在黄河 长江 淮河 汉江流域的各个部落，融汇成为更广泛意义上的“华夏族”因此 “黄帝,小乐PDYJ,1503056,247,53556,54323,4061,266,湖南,1710848954,141,BV1xj421o7aQ
当你突然变有钱，一定要做的几件事,美丽的臭小汁7,3020458,9178,48291,450081,19446,1855,重庆,1712399400,51,BV1q1421U7RC
甲方：一个敢拍，一个敢吸,郝凡啊,409708,389,2435,38922,582,10021,广东,1712747308,35,BV1Bx4y1h7C6
我已经慌得在找变身器了,隔壁小蜘蛛吖,573997,3,22784,3386,464,6,四川,1712303615,127,BV1Ax4y1Y78G
