视频名称,up主,播放量,评论数,收藏数,点赞数,投币数,分享数,发布地点,发布时间,视频时长,BV号
新英雄卢菈技能展示 召唤巨型火蛇 峡谷所有的墙都能翻过去,王者人格小A,904036,891,1037,10302,146,5125,江西,1712848127,159,BV14p421y7Je
当年的不死八戒，彻底回来了！,尴尬的铁根er,588470,915,1420,43808,1287,783,山东,1712984009,242,BV14Z421v7vH
【LPL季后赛】谁的眼神最坚毅？JDG惨遭TES3：0横扫，WBG大战LNG结局欧亨利！季后赛首轮复盘！,圆某人和四某人,462658,2018,2828,20075,8600,308,广西,1712775086,2755,BV1jF4m1T7qi
北极圈桃源，高尔基童话，1.8剧情如何致敬红色理想？【重返未来：1999】,银发三千雪满头,233775,502,10398,29539,3760,1655,广东,1712825859,516,BV1rE421M7KF
【短视频】原来我一直都没碰到好兄弟,里昂聊游戏,1167842,181,5690,41949,222,609,黑龙江,1712724328,12,BV1qr421x78B
【危机合约#2】全网首杀 强杀890 炽刃破浪 得见光芒,巅峰计划,245363,985,5424,29355,13662,2469,天津,1712913600,511,BV1ex4y1Y7ZM
一家子都成熟人了哦,不正经的羔羊,549760,146,8012,65965,271,533,山东,1712944585,25,BV1KC411V7tq
"我的世界：在本期视频中,我将要和五位好友进行生存,但我们其中有位肌肉帝夫,他将会来追杀我,那我能否存活50分钟呢",奶油ca,521716,26,7700,1201,132,8,河北,1712830327,199,BV1kr421x7x3
《包点没人》被连偷三次包你会破防吗？拆包10.0,老六麦克雷,368105,139,2226,57206,642,516,重庆,1712755229,127,BV1FK421a7t2
权限狗网瘾戒除计划（3）,csd777,465036,1305,7297,56051,35092,659,湖北,1712668347,412,BV1ip42197LL
《不死组合强力微妙，放血掏心伤害批爆!!》,禹汁波の纱世里,416500,272,3007,38014,700,707,吉林,1712918773,175,BV1tD421n7fk
缺金币的快进来学，木叶寿司店出初代的秘籍！,暴躁老哥艾火影,275488,446,6288,34012,17602,479,江苏,1712745449,272,BV1vt421J7oj
《哦原来是我60级突破的地方》,梓宸爱公子,424714,1377,4215,45622,1465,131,江西,1712916494,135,BV17x421m71q
《 千珏也想超？那就出羊刀！》,一只小辅助,464914,221,1167,34849,403,664,四川,1712760952,163,BV1PZ421q7SG
“她的一句喜欢老马，我练了两年半”,早田又行了,439544,250,7063,52681,2085,810,湖南,1712671208,110,BV1U1421m7Ek
铁男大招再次加强：船长橘子、奥拉夫也无法解除！已无任何方法 (狮子狗/牛头/丁真/水银...),葡萄的叮当猫,736688,1185,964,26168,287,10751,湖北,1712792872,111,BV1tT421m7BF
王小贱抽小兵荣耀水晶皮肤？,福利主播-王小贱,730607,27,3372,1119,105,5,广东,1712814035,375,BV17F4m1T7Pa
【猫meme】我的家 1 父母爱情,京九新兖常驻车迷,602336,412,5996,70066,167,160,山东,1712654055,51,BV1ux421S7La
忍者生存1,狸某普信男,660237,7,20075,4193,713,5,辽宁,1712570267,163,BV1Am42177RF
蛮王你是哪个省的？ 蛮王：额…是螃蟹生的！,攻其不备螃蟹王,571507,721,610,28833,3326,788,陕西,1712747848,392,BV1vr421x7DQ
你往右瞄一下他就出来了,三川大魔王,481794,81,5172,61093,635,1821,江苏,1712742012,67,BV1M1421o76A
全部启动！！！,Minecraft雨龙,467246,1572,15520,93185,13986,316,江西,1712657742,51,BV1TD421p7j6
细思极恐！同类相食，居然是实现生态平衡的好方法！,三叶草DNA,359248,628,7529,35209,2016,541,北京,1712912400,315,BV1hH4y1M7ti
我要成为世界上最帅的人！征服外星人成为外星人国王！ROBLOX,躺平BOY解说,505304,22,6730,2033,217,2,重庆,1712826000,627,BV1or421x7up
【崩坏星穹铁道】星铁钟离？首位限定盾辅！砂金值不值得抽？光锥 配队 遗器 材料 技能 命运从未公平,梦轩dada,524087,1585,5926,24325,8493,1981,浙江,1712721900,1126,BV1zA4m1w71Y
⚡名场面之NIKO沙鹰马枪提前下班⚡,AYCS2,508972,456,2175,31483,1278,2784,河北,1712763771,131,BV1sH4y1T7PM
红警房主问我能坚持住几秒！我能坚持到他投降之后！,红警HBK08,473725,2741,1124,25414,3878,251,江西,1712882402,1151,BV1FJ4m1W7Ro
古董天使：精致古董虫子玩不了？关我古董天使什么事？！,云顶王天师,377914,122,1069,36054,792,231,辽宁,1712822835,186,BV19E421M7aR
