视频名称,up主,播放量,评论数,收藏数,点赞数,投币数,分享数,发布地点,发布时间,视频时长,BV号
【AI芙宁娜】《5:20AM》,白介儿啊,597710,342,54066,28849,6171,2113,江苏,1712224081,157,BV1oA4m1c7va
5.20am，河南小伙点根烟唱起了从前,鬼叔黍,316478,522,3674,25486,8588,1454,广东,1712718528,160,BV1mm421779N
我又用负面评论写了一首歌！,Vicky宣宣,198108,349,3939,13745,3829,270,加拿大,1712916000,226,BV1Ex421S7Mf
莫哭，不过是个《匹夫》！,小少焱的,139812,400,5223,17898,11387,580,河北,1712980800,227,BV1Bm421j7vb
正常人的手Vs钢琴家的手,点击设置昵称---,573669,36,486,16013,49,231,湖北,1712655841,20,BV1QK421h7oQ
实力歌手一战成名的二十大神级现场,纵马踏平川,490858,122,16795,3638,788,19,北京,1712497917,547,BV1Mx421S7Zx
比伯的声音拌鞋底都好听,子夕__,392274,25,65497,17155,4243,114,广东,1712066918,199,BV1jt421n7Ro
震撼！在音乐厅听到《Call of Silence》进击的巨人！【琥珀琴师×沐云华乐团】,琥珀琴师Louis,106223,95,10391,41271,2014,863,天津,1712664857,47,BV1WA4m1w7A9
男生唱歌一鸣惊人，后面的女生表情亮了！,SonamTsering5,1262037,344,18609,121185,4810,1908,重庆,1712215257,53,BV1eJ4m157kg
来自五个超可爱广西表妹的盛情邀请！再不来就不礼貌了！！,烛不遥,149035,312,3811,22495,4918,1341,广西,1712894400,114,BV1uD421s7es
【NCT】道英《青春的泡沫 (YOUTH)》Highlight Medley,NCT,76373,1567,4802,13409,8239,4350,韩国,1712934000,300,BV1BE421u79T
"""古风戏腔Dj版降调合集,一次听个够！""",爱笑的小桑,166699,67,22847,3261,695,18,北京,1712485329,2030,BV1P1421m7Vy
【5:20AM】翻唱｜河南说唱好可爱呀～,开心蛙蛙_,414028,56,3722,17698,1168,280,北京,1712747147,18,BV16z421y7Hj
盘点10首催泪伤感歌曲，能一口气听完的都是大神，进来听听你能坚持到几首！,明星音乐汇,1085705,0,85682,4732,1049,1,广东,1700563727,121,BV1UM411Z7Hp
⚠︎癫狂预警⚠︎这么疯的反差声线？！翻唱《Insane》🔥地狱客栈🔥,卡米莉娅睡不醒ovo,329022,475,30055,71245,12227,1408,上海,1712372400,147,BV1pJ4m157pt
