视频名称,up主,播放量,评论数,收藏数,点赞数,投币数,分享数,发布地点,发布时间,视频时长,BV号
比上代强这么多？真我GT Neo6 SE继续射门：屏幕真猛！,穷评,110116,265,367,2790,139,159,,1712804700,282,BV1bx4y1Y7Dq
注销手机号时，一定要多做这一步！,哏工侃智能,481864,91,19178,21399,1027,1025,天津,1712565862,44,BV1vZ421i7bj
测评10几款电容笔后，找到3支Apple Pencil最佳平替！,网不红萌叔Joey,61429,28,1887,6366,194,214,北京,1712829600,177,BV1cm411B7Y1
三月份0-1000元性价比手机大推荐！性价比天花板机型都在这了！#学生党 #百元机 #二手机,荐机行事,533392,17,43106,7537,2685,42,广东,1711111232,233,BV1xC41187Vo
无限西瓜🤣,阳台种点草,282146,67,714,6587,36,75,广东,1712396425,30,BV1xT421m7Yb
小白请查收！新电脑必须要做的7个步骤！【雅晨】,雅晨不加班,1391407,123,105255,31289,18402,344,河南,1710246600,367,BV1yx4y1Q7fF
【建议收藏】我奶奶看了都会飞，一个视频了解DJI Avata2的一切,所长Wy,82326,258,676,6549,245,236,广东,1712840400,692,BV19p421y7aN
[猫meme]关于五金运营做了猫meme给领导看之后,南威工具艺泽uuu,135987,18,837,35467,2247,26,山东,1712629544,46,BV16r421x7RM
完美还原后坐力，开箱保加利亚进口AKMS反吹抛壳模型,JaegerZ999官方账号,1023744,474,7357,66721,860,1229,美国,1712548800,26,BV1JD421p7XY
产品展开如何精准计算，如果你还不会，这个视频告诉你答案,一斌老师教模具设计,329959,8,3841,6024,206,99,湖南,1712477232,55,BV1nm4116776
网线对面有个对象丨给陌生人拍照,这里是八月,63675,63,1540,7129,79,167,山东,1712759739,162,BV1Gr421471t
听说上网拼的是点击率，用乐高爆改鼠标,piggytyler,227350,127,4629,2326,302,202,福建,1712455035,273,BV1uH4y1M7mG
没想到啊！以前KFC花活不少啊！,手艺贾,91258,995,620,8428,1388,260,辽宁,1712985072,465,BV1XT42117PY
游戏120帧的三款全能游戏神机，600块直接带走！！ #游戏手机 #学生党 #性价比,麻花荐机所,43144,0,6842,1212,269,0,广东,1712740116,93,BV11q421F7nF
